Country;Population;GDP;Currency;AreaKm2
Sweden;10500000;635000000000;SEK;450295
Norway;5400000;482000000000;NOK;385207
Finland;5500000;305000000000;EUR;338455
Denmark;5900000;410000000000;DKK;43094
Germany;83200000;4200000000000;EUR;357022
France;67000000;3000000000000;EUR;551695
Italy;59000000;2100000000000;EUR;301340
Spain;48000000;1600000000000;EUR;
Netherlands;17500000;1000000000000;EUR;41543
Belgium;11600000;600000000000;EUR;30528
Poland;38000000;700000000000;PLN;312696
Austria;9000000;480000000000;EUR;83879
Switzerland;8700000;820000000000;CHF;41285
Canada;39000000;2100000000000;CAD;9984670
USA;333000000;26000000000000;USD;9833517
Mexico;126000000;1400000000000;MXN;1964375
Brazil;214000000;2100000000000;BRL;8515767
Argentina;46000000;640000000000;ARS;2780400
Chile;19000000;330000000000;CLP;756102
Colombia;52000000;340000000000;COP;1141748
